X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
778552.0,3191832.0,train,4.549913304354442E-5,4.425068194372121,0.05409843997430491
770056.0,3189540.0,train,0.0015678865939350401,62.0355370437979,0.6633943284709986
774066.0,3188925.0,train,0.001196283247812492,45.8070072274291,0.6005958199447571
771779.0,3198227.0,train,0.0012355306643082266,46.83418296125509,0.6083136950313193
770682.0,3199071.0,train,0.001152953573400662,44.59952468285683,0.5917140787441705
775819.0,3201381.0,train,4.383771434432598E-4,24.415434157522267,0.3552715419686247
775537.0,3203469.0,train,2.3568909931549265E-4,15.547194314329174,0.2285507035094409
780901.0,3209753.0,train,5.777197210537909E-4,28.90357283191213,0.42069095835780324
784797.0,3215008.0,train,5.203765122141973E-4,26.89441115469825,0.395446702615397
786306.0,3217381.0,train,3.573252918872621E-4,21.271629022545536,0.3099442651236868
786590.0,3219593.0,train,3.3055238252335995E-4,20.192404868613462,0.2935382128386978
788356.0,3219094.0,train,1.914180749335938E-4,13.573782639798665,0.19394669585287772
787467.0,3221096.0,train,3.1519500395255377E-4,19.523237158572876,0.2837704825445935
789491.0,3222847.0,train,3.9415318834787365E-4,22.888407443842333,0.33130541216740195
769937.0,3190584.0,train,0.0022371953652202217,88.70554616338964,0.7376813295501657
769350.0,3190816.0,train,8.621538243715811E-4,38.19045415393074,0.5200909962155373
769197.0,3188322.0,train,0.0020942317045637804,85.4014543536801,0.7247038397936498
767039.0,3187313.0,train,0.0017594798450904752,72.26805934072516,0.6886353334344858
766975.0,3187256.0,train,0.00233527233943179,90.08277976837708,0.7458988092507981
766808.0,3187269.0,train,0.0027728782960862006,93.14918295065078,0.777059972016789
766486.0,3187169.0,train,0.0012436866876953771,47.082215513615736,0.6098802673408023
765284.0,3186198.0,train,0.0020041167801166807,82.36706850548843,0.7158426624129589
764887.0,3185899.0,train,0.0020190010920293046,83.41539202648332,0.717345387004158
764627.0,3186542.0,train,0.001852472013403434,76.78532300663582,0.6995697360173502
764232.0,3187115.0,train,0.0016712174491053102,67.30323571752083,0.6774944956699045
766238.0,3184761.0,train,8.039727303282562E-4,36.54258637627668,0.502634706693434
763309.0,3184178.0,train,0.0019378892960878135,79.63972238251546,0.7089579053976433
762605.0,3184409.0,train,2.5707043131573603E-4,16.595906706590295,0.2442208384423804
762467.0,3184823.0,train,4.957128364743395E-5,4.764673620029844,0.05865622363595613
760818.0,3180037.0,train,0.0024849962035720058,91.29429270907085,0.7574959875553287
761176.0,3179869.0,train,0.0023286320441330455,89.84930869367712,0.7453587286654701
760390.0,3179717.0,train,0.004429101392393187,98.64128421269787,0.8477324063273858
759952.0,3179409.0,train,0.004411538137660293,98.1983231074684,0.8472188145778302
759856.0,3179047.0,train,0.001568720133536671,62.13383406001159,0.6635130013924959
760225.0,3178967.0,train,0.0021216945251681285,87.15946373257735,0.7272954717223139
758099.0,3178158.0,train,0.0014201842477387361,53.84815206494358,0.6409559077533934
756875.0,3176335.0,train,2.834023871268267E-4,18.06683741569917,0.2626658138084015
754377.0,3175408.0,train,0.002572293804701724,92.05907816258272,0.7637819248335275
753504.0,3173899.0,train,0.0017966943998526767,74.58524351919029,0.6931053298968219
758769.0,3165108.0,train,0.001953954191396317,80.41961545637506,0.7106584194879301
776106.0,3201431.0,test,3.8259221746198295E-4,22.274917527000692,0.32474355867328447
774815.0,3201986.0,test,8.014231310262817E-4,36.41541712118275,0.501840650253689
771614.0,3193144.0,test,0.0013517567380256744,51.93430882843407,0.6295143382413521
763671.0,3184858.0,test,0.003516276805178874,95.97280262745898,0.8154969302462772
764005.0,3184460.0,test,0.0016807462113524313,68.03410670920505,0.6787354964193645
764755.0,3186034.0,test,0.0018629481868095662,77.0764306528016,0.7007536248787913
784160.0,3214235.0,test,3.6898781889055463E-4,21.868061349945272,0.3168550184668406
762277.0,3185215.0,test,5.21964475019098E-5,5.008329925826068,0.0615712444290059
755727.0,3174760.0,test,0.0013736302783605697,52.19551787609601,0.6332502447317219
758266.0,3179113.0,test,0.0020931644337069794,85.31070930703436,0.7246021280585541
765686.0,3185584.0,test,0.0016517333733706368,66.53485128810443,0.6749268581845603
757521.0,3171508.0,test,0.0013620145170800935,52.09633178949346,0.6312757549786248
766717.0,3187186.0,test,0.002075607096872337,84.95651468612223,0.722918046421213
764629.0,3184464.0,test,9.619709174835724E-4,40.719541978304434,0.5473471608134899
756956.0,3170344.0,test,0.0016367054750920458,65.90854222217692,0.6729183612240899
766606.0,3187146.0,test,0.0016086687132391745,64.67975294607999,0.669104094231487
762874.0,3183949.0,test,0.002002935200368755,82.27165481206362,0.7157226849160532
